trip_id,ride_id,route_id,date,time,hour_of_day,minute,day_of_week,day_of_week_num,is_weekend,day_type,month,quarter,season,is_peak_hour,is_night_trip,origin_stop_id,origin_name,origin_lat,origin_lon,origin_zone,origin_location_type,destination_stop_id,destination_name,destination_lat,destination_lon,destination_zone,destination_location_type,straight_line_km,road_distance_km,road_factor,distance_slab,vehicle_type,has_ac,vehicle_capacity,vehicle_age_years,route_waypoints,standard_fare_inr,premium_fare_inr,base_fare_charged_inr,night_surcharge_applied,peak_surcharge_applied,rain_surcharge_applied,fare_after_surcharge_inr,discount_type,has_discount,discount_pct,traffic_multiplier,effective_speed_kmh,estimated_travel_min,passenger_count,vehicle_occupancy_pct,weather,final_fare_inr
UTR-000011,RIDE-456778,UTR-ETCT-0011,2024-10-08,18:12,18,12,Tuesday,1,0,holiday,10,4,post_monsoon,1,0,37,Magarpatta,18.5122,73.9284,east,it_hub,3,Swargate Bus Terminal,18.5019,73.8611,central,transit_hub,7.188,8.838,1.23,7.5-9.0,Hatchback,0,4,3,12,186,204.6,186.0,0,1,0,204.5,none,0,0,1.45,12.2,43.5,2,50.0,cloudy,204.5
UTR-000012,RIDE-900581,UTR-WTNT-0012,2024-12-06,16:14,16,14,Friday,4,0,weekday,12,4,winter,0,0,48,Sus Village,18.5565,73.7613,west,residential,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,9.09,13.661,1.503,13.5-15.0,Electric Cab,1,4,1,18,310,341.0,341.0,0,0,0,341.0,none,0,0,1.32,17.21,47.6,3,75.0,partly_cloudy,341.0
UTR-000013,RIDE-498382,UTR-CTWT-0013,2024-09-06,17:58,17,58,Friday,4,0,weekday,9,3,monsoon,1,0,2,Shivajinagar Bus Stand,18.5308,73.8474,central,transit_hub,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,4.929,6.908,1.402,6.0-7.5,Sedan,0,4,13,7,155,170.5,155.0,0,1,0,170.5,none,0,0,1.66,15.54,26.7,3,75.0,light_rain,170.5
UTR-000014,RIDE-460663,UTR-WTWT-0014,2024-07-08,07:31,7,31,Monday,0,0,weekday,7,3,monsoon,1,0,9,Pashan,18.5361,73.8042,west,residential,48,Sus Village,18.5565,73.7613,west,residential,5.06,6.043,1.194,6.0-7.5,Sedan,0,4,2,6,155,170.5,155.0,0,1,0,170.5,none,0,0,1.71,14.56,24.9,1,25.0,clear,170.5
UTR-000015,RIDE-865179,UTR-FENT-0015,2024-12-20,08:28,8,28,Friday,4,0,weekday,12,4,winter,1,0,36,Wagholi,18.5619,73.9862,far_east,residential,23,Nigdi,18.663,73.7712,north,residential,25.292,40.838,1.615,21.0+,Electric Cab,1,4,1,38,868,954.8,954.8,0,1,0,1050.5,none,0,0,1.83,11.23,218.2,3,75.0,clear,1050.5
UTR-000016,RIDE-496922,UTR-NWWT-0016,2024-08-26,16:56,16,56,Monday,0,0,weekday,8,3,monsoon,0,0,15,Hinjewadi Phase 1,18.5912,73.738,northwest,it_hub,8,Bavdhan,18.5195,73.7773,west,residential,8.985,11.01,1.225,10.5-12.0,Hatchback,0,4,6,12,248,272.8,248.0,0,0,1,285.0,none,0,0,1.08,20.18,32.7,4,100.0,heavy_rain,285.0
UTR-000017,RIDE-969693,UTR-SWCT-0017,2024-10-07,08:10,8,10,Monday,0,0,holiday,10,4,post_monsoon,1,0,7,Warje,18.4896,73.8089,southwest,residential,2,Shivajinagar Bus Stand,18.5308,73.8474,central,transit_hub,6.121,8.754,1.43,7.5-9.0,AC Sedan,1,4,2,15,186,204.6,204.6,0,1,0,225.0,none,0,0,1.62,13.36,39.3,1,25.0,cloudy,225.0
UTR-000018,RIDE-838797,UTR-NWCT-0018,2024-02-22,07:27,7,27,Thursday,3,0,weekday,2,1,winter,1,0,15,Hinjewadi Phase 1,18.5912,73.738,northwest,it_hub,4,Deccan Gymkhana,18.5186,73.8461,central,commercial,13.965,22.234,1.592,21.0+,Sedan,0,4,5,28,465,511.5,465.0,0,1,0,511.5,none,0,0,2.23,8.91,149.7,3,75.0,clear,511.5
UTR-000019,RIDE-338968,UTR-WTFN-0019,2024-11-15,08:07,8,7,Friday,4,0,weekday,11,4,post_monsoon,1,0,10,Sus Road,18.5459,73.7713,west,residential,26,Dehu Road,18.6823,73.7481,far_north,residential,15.363,24.822,1.616,21.0+,Hatchback,0,4,6,38,527,579.7,527.0,0,1,0,579.5,corporate,1,15,1.56,15.21,97.9,1,25.0,clear,492.5
UTR-000020,RIDE-996865,UTR-NWCT-0020,2024-10-10,20:47,20,47,Thursday,3,0,weekday,10,4,post_monsoon,1,0,19,Rahatani,18.6135,73.7772,northwest,residential,39,Camp Area,18.5167,73.8808,central,commercial,15.333,23.179,1.512,21.0+,AC Sedan,1,4,4,28,496,545.6,545.6,0,1,0,600.0,none,0,0,2.02,11.21,124.1,3,75.0,clear,600.0
UTR-000021,RIDE-498591,UTR-STCT-0021,2024-07-24,16:22,16,22,Wednesday,2,0,weekday,7,3,monsoon,0,0,43,Undri,18.4561,73.9033,south,residential,2,Shivajinagar Bus Stand,18.5308,73.8474,central,transit_hub,10.185,13.046,1.281,12.0-13.5,Auto Rickshaw,0,3,3,19,279,306.9,279.0,0,0,1,321.0,none,0,0,1.26,17.93,43.7,1,33.3,heavy_rain,321.0
UTR-000022,RIDE-974628,UTR-FXST-0022,2024-06-19,08:12,8,12,Wednesday,2,0,weekday,6,2,monsoon,1,0,49,Talegaon Dabhade,18.7273,73.6739,far_northwest,town,43,Undri,18.4561,73.9033,south,residential,38.651,59.735,1.545,21.0+,Hatchback,0,4,2,101,1240,1364.0,1240.0,0,1,0,1364.0,none,0,0,1.82,10.74,333.7,3,75.0,light_rain,1364.0
UTR-000023,RIDE-472528,UTR-NTWT-0023,2024-04-01,14:20,14,20,Monday,0,0,weekday,4,2,summer,0,0,22,Akurdi,18.6481,73.7671,north,residential,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,16.22,25.142,1.55,21.0+,Sedan,0,4,7,24,527,579.7,527.0,0,0,0,527.0,none,0,0,1.14,15.16,99.5,3,75.0,hot_sunny,527.0
UTR-000024,RIDE-835911,UTR-WTCT-0024,2024-09-16,13:15,13,15,Monday,0,0,weekday,9,3,monsoon,0,0,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,2,Shivajinagar Bus Stand,18.5308,73.8474,central,transit_hub,4.929,6.775,1.375,6.0-7.5,Sedan,0,4,3,8,155,170.5,155.0,0,0,0,155.0,none,0,0,1.18,20.69,19.6,2,50.0,cloudy,155.0
UTR-000025,RIDE-279451,UTR-NECT-0025,2024-06-18,06:03,6,3,Tuesday,1,0,weekday,6,2,monsoon,0,0,30,Dhanori,18.5868,73.9034,northeast,residential,39,Camp Area,18.5167,73.8808,central,commercial,8.151,10.932,1.341,10.5-12.0,Sedan,0,4,4,13,248,272.8,248.0,0,0,0,248.0,none,0,0,0.66,38.23,17.2,1,25.0,cloudy,248.0
UTR-000026,RIDE-497887,UTR-NWNE-0026,2024-04-20,08:53,8,53,Saturday,5,1,weekend,4,2,summer,1,0,15,Hinjewadi Phase 1,18.5912,73.738,northwest,it_hub,29,Lohegaon,18.599,73.9107,northeast,residential,18.222,25.78,1.415,21.0+,AC Sedan,1,4,1,26,558,613.8,613.8,0,1,0,675.0,none,0,0,0.68,28.8,53.7,2,50.0,partly_cloudy,675.0
UTR-000027,RIDE-771088,UTR-NTET-0027,2024-12-10,09:12,9,12,Tuesday,1,0,weekday,12,4,winter,1,0,20,Pimpri Bus Stand,18.622,73.7991,north,transit_hub,32,Kalyani Nagar,18.5479,73.9008,east,premium_zone,13.52,19.32,1.429,18.0-19.5,AC Sedan,1,4,2,27,403,443.3,443.3,0,1,0,487.5,senior,1,50,1.7,12.07,96.0,3,75.0,clear,244.0
UTR-000028,RIDE-983794,UTR-ETET-0028,2024-07-22,17:29,17,29,Monday,0,0,weekday,7,3,monsoon,1,0,34,Yerwada,18.5533,73.9008,east,residential,38,Mundhwa,18.5277,73.9264,east,residential,3.923,5.028,1.282,4.5-6.0,Electric Cab,1,4,2,5,124,136.4,136.4,0,1,1,172.5,none,0,0,1.77,11.71,25.8,2,50.0,heavy_rain,172.5
UTR-000029,RIDE-133659,UTR-NEWT-0029,2024-12-16,16:32,16,32,Monday,0,0,holiday,12,4,winter,0,0,27,Alandi Road,18.6008,73.8652,northeast,residential,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,12.025,17.766,1.477,16.5-18.0,Sedan,0,4,9,27,372,409.2,372.0,0,0,0,372.0,none,0,0,1.27,13.98,76.2,1,25.0,foggy,372.0
UTR-000030,RIDE-169403,UTR-ETNT-0030,2024-09-14,10:21,10,21,Saturday,5,1,weekend,9,3,monsoon,1,0,35,Kharadi,18.5519,73.9439,east,it_hub,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,17.487,26.351,1.507,21.0+,Sedan,0,4,10,27,558,613.8,558.0,0,1,0,614.0,none,0,0,1.25,13.68,115.6,3,75.0,light_rain,614.0
UTR-000031,RIDE-694731,UTR-NTET-0031,2024-08-11,12:54,12,54,Sunday,6,1,weekend,8,3,monsoon,0,0,22,Akurdi,18.6481,73.7671,north,residential,33,Koregaon Park,18.5362,73.8938,east,premium_zone,18.252,27.38,1.5,21.0+,AC Sedan,1,4,8,38,589,647.9,647.9,0,0,0,648.0,none,0,0,1.19,16.0,102.7,2,50.0,light_rain,648.0
UTR-000032,RIDE-623481,UTR-CTNW-0032,2024-09-23,18:47,18,47,Monday,0,0,weekday,9,3,monsoon,1,0,3,Swargate Bus Terminal,18.5019,73.8611,central,transit_hub,15,Hinjewadi Phase 1,18.5912,73.738,northwest,it_hub,16.34,24.639,1.508,21.0+,Electric Cab,1,4,3,26,527,579.7,579.7,0,1,0,637.5,none,0,0,1.93,10.77,137.3,3,75.0,cloudy,637.5
UTR-000033,RIDE-774079,UTR-NWNW-0033,2024-07-22,16:31,16,31,Monday,0,0,holiday,7,3,monsoon,0,0,18,Tathawade,18.6139,73.7601,northwest,residential,19,Rahatani,18.6135,73.7772,northwest,residential,1.803,2.309,1.281,1.5-3.0,AC SUV,1,6,6,3,62,68.2,68.2,0,0,1,78.5,none,0,0,1.18,19.49,7.1,4,66.7,heavy_rain,78.5
UTR-000034,RIDE-246413,UTR-FNCT-0034,2024-12-03,08:50,8,50,Tuesday,1,0,weekday,12,4,winter,1,0,26,Dehu Road,18.6823,73.7481,far_north,residential,2,Shivajinagar Bus Stand,18.5308,73.8474,central,transit_hub,19.832,34.84,1.757,21.0+,Auto Rickshaw,0,3,4,48,744,818.4,744.0,0,1,0,818.5,none,0,0,1.71,10.72,195.0,2,66.7,foggy,818.5
UTR-000035,RIDE-665158,UTR-WTNW-0035,2024-07-12,17:06,17,6,Friday,4,0,holiday,7,3,monsoon,1,0,48,Sus Village,18.5565,73.7613,west,residential,15,Hinjewadi Phase 1,18.5912,73.738,northwest,it_hub,4.574,5.717,1.25,4.5-6.0,AC Sedan,1,4,7,6,124,136.4,136.4,0,1,0,150.0,none,0,0,2.07,9.95,34.5,2,50.0,cloudy,150.0
UTR-000036,RIDE-549245,UTR-ETNT-0036,2024-08-31,16:35,16,35,Saturday,5,1,weekend,8,3,monsoon,0,0,37,Magarpatta,18.5122,73.9284,east,it_hub,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,18.834,27.539,1.462,21.0+,Sedan,0,4,8,34,589,647.9,589.0,0,0,1,677.5,none,0,0,1.17,20.08,82.3,3,75.0,heavy_rain,677.5
UTR-000037,RIDE-245051,UTR-NWWT-0037,2024-02-07,08:53,8,53,Wednesday,2,0,weekday,2,1,winter,1,0,14,Balewadi,18.5793,73.778,northwest,residential,10,Sus Road,18.5459,73.7713,west,residential,3.78,4.832,1.278,4.5-6.0,Sedan,0,4,13,7,124,136.4,124.0,0,1,0,136.5,none,0,0,1.87,12.67,22.9,4,100.0,partly_cloudy,136.5
UTR-000038,RIDE-617488,UTR-CTET-0038,2024-05-02,15:15,15,15,Thursday,3,0,weekday,5,2,summer,0,0,3,Swargate Bus Terminal,18.5019,73.8611,central,transit_hub,37,Magarpatta,18.5122,73.9284,east,it_hub,7.188,9.325,1.297,9.0-10.5,AC SUV,1,6,1,9,217,238.7,238.7,0,0,0,238.5,senior,1,50,1.34,13.83,40.5,5,83.3,clear,119.0
UTR-000039,RIDE-214975,UTR-CTNT-0039,2024-08-13,07:21,7,21,Tuesday,1,0,weekday,8,3,monsoon,1,0,1,Pune Railway Station,18.528,73.8742,central,transit_hub,20,Pimpri Bus Stand,18.622,73.7991,north,transit_hub,13.111,18.91,1.442,18.0-19.5,AC Sedan,1,4,6,24,403,443.3,443.3,0,1,0,487.5,none,0,0,1.63,13.39,84.7,1,25.0,clear,487.5
UTR-000040,RIDE-930555,UTR-NWET-0040,2024-11-27,08:42,8,42,Wednesday,2,0,weekday,11,4,post_monsoon,1,0,47,Mahalunge,18.5774,73.7519,northwest,residential,37,Magarpatta,18.5122,73.9284,east,it_hub,19.969,34.06,1.706,21.0+,AC Sedan,1,4,3,37,713,784.3,784.3,0,1,0,862.5,none,0,0,2.16,8.67,235.7,2,50.0,partly_cloudy,862.5
UTR-000041,RIDE-166613,UTR-NWET-0041,2024-10-26,08:59,8,59,Saturday,5,1,weekend,10,4,post_monsoon,1,0,18,Tathawade,18.6139,73.7601,northwest,residential,35,Kharadi,18.5519,73.9439,east,it_hub,20.562,31.526,1.533,21.0+,AC SUV,1,6,4,38,682,750.2,750.2,0,1,0,825.0,none,0,0,0.79,30.32,62.4,6,100.0,clear,825.0
UTR-000042,RIDE-590785,UTR-NWNT-0042,2024-04-03,12:23,12,23,Wednesday,2,0,weekday,4,2,summer,0,0,17,Hinjewadi Phase 3,18.6064,73.7138,northwest,it_hub,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,9.415,13.603,1.445,13.5-15.0,AC Sedan,1,4,8,22,310,341.0,341.0,0,0,0,341.0,none,0,0,1.22,15.52,52.6,4,100.0,hot_sunny,341.0
UTR-000043,RIDE-112038,UTR-STCT-0043,2024-06-27,14:14,14,14,Thursday,3,0,weekday,6,2,monsoon,0,0,46,Dhankawadi,18.4651,73.85,south,residential,1,Pune Railway Station,18.528,73.8742,central,transit_hub,7.445,9.338,1.254,9.0-10.5,AC Sedan,1,4,2,13,217,238.7,238.7,0,0,1,274.5,none,0,0,1.17,15.2,36.9,3,75.0,heavy_rain,274.5
UTR-000044,RIDE-663054,UTR-CTWT-0044,2024-05-28,09:49,9,49,Tuesday,1,0,weekday,5,2,summer,1,0,5,FC Road,18.5225,73.8423,central,commercial,8,Bavdhan,18.5195,73.7773,west,residential,6.861,9.831,1.433,9.0-10.5,Sedan,0,4,8,11,217,238.7,217.0,0,1,0,238.5,none,0,0,1.49,14.69,40.2,1,25.0,hot_sunny,238.5
UTR-000045,RIDE-456699,UTR-NTWT-0045,2024-08-15,13:27,13,27,Thursday,3,0,weekday,8,3,monsoon,0,0,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,11,Baner,18.559,73.7868,west,it_suburb,7.978,12.648,1.585,12.0-13.5,Hatchback,0,4,7,12,279,306.9,279.0,0,0,0,279.0,none,0,0,1.25,19.27,39.4,3,75.0,clear,279.0
UTR-000046,RIDE-265840,UTR-NWET-0046,2024-04-12,17:42,17,42,Friday,4,0,weekday,4,2,summer,1,0,13,Wakad,18.5984,73.7609,northwest,it_suburb,35,Kharadi,18.5519,73.9439,east,it_hub,19.97,34.622,1.734,21.0+,AC Sedan,1,4,6,37,744,818.4,818.4,0,1,0,900.0,none,0,0,2.08,8.93,232.6,1,25.0,partly_cloudy,900.0
UTR-000047,RIDE-857168,UTR-NEWT-0047,2024-01-07,10:07,10,7,Sunday,6,1,weekend,1,1,winter,1,0,27,Alandi Road,18.6008,73.8652,northeast,residential,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,12.025,19.163,1.594,18.0-19.5,AC SUV,1,6,3,18,403,443.3,443.3,0,1,0,487.5,corporate,1,15,1.33,16.72,68.8,4,66.7,clear,414.5
UTR-000048,RIDE-898975,UTR-ETSW-0048,2024-09-29,17:56,17,56,Sunday,6,1,weekend,9,3,monsoon,1,0,35,Kharadi,18.5519,73.9439,east,it_hub,7,Warje,18.4896,73.8089,southwest,residential,15.83,22.774,1.439,21.0+,AC Sedan,1,4,1,22,496,545.6,545.6,0,1,1,690.0,none,0,0,1.28,19.64,69.6,3,75.0,heavy_rain,690.0
UTR-000049,RIDE-211579,UTR-CTST-0049,2024-07-13,10:16,10,16,Saturday,5,1,weekend,7,3,monsoon,1,0,3,Swargate Bus Terminal,18.5019,73.8611,central,transit_hub,42,Kondhwa,18.4683,73.8772,south,residential,4.104,5.194,1.266,4.5-6.0,AC Sedan,1,4,1,8,124,136.4,136.4,0,1,1,172.5,none,0,0,1.18,18.91,16.5,2,50.0,drizzle,172.5
UTR-000050,RIDE-769987,UTR-NENW-0050,2024-05-02,19:02,19,2,Thursday,3,0,weekday,5,2,summer,1,0,28,Vishrantwadi,18.5807,73.8762,northeast,residential,15,Hinjewadi Phase 1,18.5912,73.738,northwest,it_hub,14.612,21.707,1.485,21.0+,AC SUV,1,6,2,34,465,511.5,511.5,0,1,0,562.5,none,0,0,1.95,9.96,130.8,6,100.0,hazy,562.5
UTR-000051,RIDE-899550,UTR-NTWT-0051,2024-02-07,17:01,17,1,Wednesday,2,0,weekday,2,1,winter,1,0,23,Nigdi,18.663,73.7712,north,residential,48,Sus Village,18.5565,73.7613,west,residential,11.888,16.142,1.358,15.0-16.5,Hatchback,0,4,3,19,341,375.1,341.0,0,1,0,375.0,none,0,0,1.8,12.69,76.3,2,50.0,cloudy,375.0
UTR-000052,RIDE-916449,UTR-WTNT-0052,2024-04-17,19:22,19,22,Wednesday,2,0,weekday,4,2,summer,1,0,9,Pashan,18.5361,73.8042,west,residential,20,Pimpri Bus Stand,18.622,73.7991,north,transit_hub,9.567,14.421,1.507,13.5-15.0,Sedan,0,4,11,16,310,341.0,310.0,0,1,0,341.0,none,0,0,1.79,12.04,71.9,2,50.0,partly_cloudy,341.0
UTR-000053,RIDE-612340,UTR-CTCT-0053,2024-11-20,14:13,14,13,Wednesday,2,0,weekday,11,4,post_monsoon,0,0,4,Deccan Gymkhana,18.5186,73.8461,central,commercial,2,Shivajinagar Bus Stand,18.5308,73.8474,central,transit_hub,1.363,1.783,1.307,1.5-3.0,Sedan,0,4,8,2,62,68.2,62.0,0,0,0,62.0,none,0,0,1.21,14.14,7.6,1,25.0,partly_cloudy,62.0
UTR-000054,RIDE-480612,UTR-WTST-0054,2024-01-02,17:21,17,21,Tuesday,1,0,weekday,1,1,winter,1,0,8,Bavdhan,18.5195,73.7773,west,residential,42,Kondhwa,18.4683,73.8772,south,residential,11.975,16.608,1.387,16.5-18.0,Auto Rickshaw,0,3,5,23,372,409.2,372.0,0,1,0,409.0,none,0,0,1.41,14.98,66.5,1,33.3,clear,409.0
UTR-000055,RIDE-352572,UTR-ETNW-0055,2024-02-20,17:45,17,45,Tuesday,1,0,weekday,2,1,winter,1,0,33,Koregaon Park,18.5362,73.8938,east,premium_zone,19,Rahatani,18.6135,73.7772,northwest,residential,14.997,25.97,1.732,21.0+,AC Sedan,1,4,5,42,558,613.8,613.8,0,1,0,675.0,none,0,0,1.82,11.85,131.5,3,75.0,cloudy,675.0
UTR-000056,RIDE-189814,UTR-STST-0056,2024-01-04,22:10,22,10,Thursday,3,0,weekday,1,1,winter,0,1,44,Katraj,18.4519,73.87,south,transit_hub,42,Kondhwa,18.4683,73.8772,south,residential,1.975,2.358,1.194,1.5-3.0,Auto Rickshaw,0,3,8,3,62,68.2,62.0,1,0,0,74.5,none,0,0,0.95,20.32,7.0,3,100.0,clear,74.5
UTR-000057,RIDE-172574,UTR-NTNE-0057,2024-01-04,15:06,15,6,Thursday,3,0,weekday,1,1,winter,0,0,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,27,Alandi Road,18.6008,73.8652,northeast,residential,7.614,9.696,1.273,9.0-10.5,Auto Rickshaw,0,3,7,10,217,238.7,217.0,0,0,0,217.0,none,0,0,1.23,17.35,33.5,3,100.0,partly_cloudy,217.0
UTR-000058,RIDE-598369,UTR-NTWT-0058,2024-02-26,12:06,12,6,Monday,0,0,weekday,2,1,winter,0,0,25,Dighi,18.6186,73.8562,north,residential,8,Bavdhan,18.5195,73.7773,west,residential,13.806,19.822,1.436,19.5-21.0,Sedan,0,4,5,24,434,477.4,434.0,0,0,0,434.0,none,0,0,1.1,22.31,53.3,2,50.0,cloudy,434.0
UTR-000059,RIDE-653306,UTR-NWFN-0059,2024-08-01,10:11,10,11,Thursday,3,0,weekday,8,3,monsoon,1,0,13,Wakad,18.5984,73.7609,northwest,it_suburb,50,Chakan,18.7621,73.8608,far_north,industrial,21.026,29.043,1.381,21.0+,Auto Rickshaw,0,3,7,33,620,682.0,620.0,0,1,1,784.5,none,0,0,2.08,12.24,142.4,3,100.0,heavy_rain,784.5
UTR-000060,RIDE-322086,UTR-CTST-0060,2024-07-28,13:41,13,41,Sunday,6,1,weekend,7,3,monsoon,0,0,5,FC Road,18.5225,73.8423,central,commercial,44,Katraj,18.4519,73.87,south,transit_hub,8.376,11.473,1.37,10.5-12.0,Auto Rickshaw,0,3,7,11,248,272.8,248.0,0,0,1,285.0,none,0,0,1.23,15.42,44.6,3,100.0,drizzle,285.0
UTR-000061,RIDE-823378,UTR-WTNT-0061,2024-08-05,10:51,10,51,Monday,0,0,holiday,8,3,monsoon,1,0,11,Baner,18.559,73.7868,west,it_suburb,24,Bhosari,18.6434,73.8467,north,industrial,11.31,15.749,1.392,15.0-16.5,AC SUV,1,6,2,19,341,375.1,375.1,0,1,0,412.5,none,0,0,1.73,10.3,91.7,5,83.3,cloudy,412.5
UTR-000062,RIDE-518373,UTR-NTCT-0062,2024-10-16,16:28,16,28,Wednesday,2,0,weekday,10,4,post_monsoon,0,0,22,Akurdi,18.6481,73.7671,north,residential,3,Swargate Bus Terminal,18.5019,73.8611,central,transit_hub,19.038,25.944,1.363,21.0+,Auto Rickshaw,0,3,5,37,558,613.8,558.0,0,0,0,558.0,none,0,0,1.27,20.27,76.8,1,33.3,partly_cloudy,558.0
UTR-000063,RIDE-559381,UTR-NWWT-0063,2024-09-15,20:37,20,37,Sunday,6,1,weekend,9,3,monsoon,1,0,47,Mahalunge,18.5774,73.7519,northwest,residential,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,9.757,12.758,1.308,12.0-13.5,AC SUV,1,6,1,13,279,306.9,306.9,0,1,0,337.5,none,0,0,0.7,30.67,25.0,6,100.0,cloudy,337.5
